tip,date,distance,residual
DW079_2021.29,2021,3.87E-04,-1.12E-04
DW013_2021.2,2021,4.12E-04,-8.69E-05
DW027_2021.21,2021,4.89E-04,-9.92E-06
DW369_2021.04,2021,5.00E-04,9.78E-07
DW342_2020.64,2020,5.21E-04,2.29E-05
DW065_2021.27,2021,4.60E-04,-3.90E-05
DW304_2020.65,2020,5.13E-04,1.46E-05
DW389_2020.54,2020,5.89E-04,9.08E-05
DW368_2020.98,2020,4.95E-04,-3.71E-06
DW167_2021.52,2021,4.90E-04,-9.41E-06
DW436_2020.46,2020,4.85E-04,-1.26E-05
DW398_2020.75,2020,4.99E-04,2.00E-07
DW429_2019.85,2019,4.69E-04,-2.76E-05
M6711_2010,2010,4.61E-04,-2.11E-05
M6283_2003,2003,5.50E-04,7.93E-05
DW041_2021.23,2021,4.47E-04,-5.23E-05
DW299_2020.56,2020,4.30E-04,-6.84E-05
DW374_2019.56,2019,4.63E-04,-3.40E-05
DW281_2020.41,2020,4.49E-04,-4.86E-05
DW440_2020.46,2020,4.50E-04,-4.84E-05
DW425_2020.17,2020,4.39E-04,-5.87E-05
DW148_2021.42,2021,4.82E-04,-1.76E-05
DW155_2021.46,2021,4.73E-04,-2.64E-05
DW307_2020.66,2020,4.44E-04,-5.45E-05
DW384_2020.44,2020,4.44E-04,-5.41E-05
DW316_2020.75,2020,4.44E-04,-5.48E-05
DW392_2020.55,2020,4.52E-04,-4.56E-05
DW397_2020.66,2020,4.52E-04,-4.58E-05
M6489_2007,2007,4.35E-04,-4.25E-05
DW108_2021.35,2021,4.80E-04,-1.89E-05
DW141_2021.41,2021,4.86E-04,-1.38E-05
DW462_2020.85,2020,4.77E-04,-2.15E-05
DW279_2020.32,2020,4.93E-04,-4.98E-06
DW286_2020.43,2020,4.70E-04,-2.74E-05
DW346_2020.5,2020,4.71E-04,-2.74E-05
DW438_2020.48,2020,4.71E-04,-2.74E-05
DW170_2021.53,2021,5.09E-04,9.24E-06
DW351_2020.55,2020,5.04E-04,5.71E-06
DW456_2020.63,2020,5.04E-04,5.59E-06
DW418_2021.13,2021,5.09E-04,9.99E-06
DW359_2021.1,2021,4.98E-04,-5.92E-07
DW401_2020.84,2020,4.73E-04,-2.60E-05
DW043_2021.24,2021,4.74E-04,-2.52E-05
DW273_2020.18,2020,5.42E-04,4.41E-05
DW347_2021.14,2021,4.82E-04,-1.74E-05
DW390_2020.55,2020,4.61E-04,-3.68E-05
DW391_2020.55,2020,4.61E-04,-3.68E-05
DW451_2020.58,2020,4.61E-04,-3.70E-05
DW413_2021.1,2021,4.61E-04,-3.80E-05
DW444_2020.44,2020,4.59E-04,-3.84E-05
DW096_2021.33,2021,5.18E-04,1.91E-05
DW463_2017.13,2017,5.16E-04,2.37E-05
DW487_2016.47,2016,5.14E-04,2.24E-05
DW493_2016.38,2016,5.14E-04,2.26E-05
DW322_2020.92,2020,4.39E-04,-5.97E-05
DW308_2020.66,2020,4.33E-04,-6.50E-05
DW309_2020.67,2020,4.33E-04,-6.52E-05
DW325_2020.98,2020,4.76E-04,-2.23E-05
DW484_2016.33,2016,4.31E-04,-6.05E-05
DW331_2021.55,2021,4.16E-04,-8.37E-05
DW365_2020.88,2020,4.18E-04,-8.09E-05
DW485_2016.63,2016,4.16E-04,-7.63E-05
DW153_2021.46,2021,4.31E-04,-6.90E-05
DW355_2021.09,2021,4.24E-04,-7.53E-05
DW353_2020.61,2020,4.31E-04,-6.70E-05
DW427_2020.42,2020,4.34E-04,-6.36E-05
DW301_2020.58,2020,4.55E-04,-4.31E-05
DW410_2021,2021,4.63E-04,-3.61E-05
DW370_2021.16,2021,4.64E-04,-3.52E-05
DW349_2021.17,2021,4.40E-04,-5.91E-05
DW414_2021.12,2021,4.48E-04,-5.14E-05
DW376_2020,2020,4.46E-04,-5.10E-05
DW119_2021.37,2021,4.53E-04,-4.63E-05
DW058_2021.26,2021,4.39E-04,-5.99E-05
DW415_2021.13,2021,4.39E-04,-5.97E-05
DW339_2022.89,2022,4.65E-04,-3.66E-05
DW329_2021.11,2021,4.69E-04,-3.00E-05
DW448_2020.52,2020,4.34E-04,-6.41E-05
DW033_2021.22,2021,5.93E-04,9.42E-05
DW112_2021.36,2021,6.71E-04,1.71E-04
DW334_2022.09,2022,6.72E-04,1.72E-04
DW380_2020.27,2020,6.59E-04,1.61E-04
DW292_2020.5,2020,6.71E-04,1.73E-04
DW285_2020.43,2020,6.94E-04,1.96E-04
DW366_2018.84,2018,6.94E-04,1.99E-04
DW379_2019.69,2019,6.94E-04,1.97E-04
DW428_2019.77,2019,6.83E-04,1.86E-04
DW268_2018.34,2018,6.73E-04,1.78E-04
DW269_2019.58,2019,6.78E-04,1.81E-04
DW270_2019.7,2019,6.92E-04,1.95E-04
DW354_2020.64,2020,6.80E-04,1.82E-04
DW271_2019.7,2019,8.17E-04,3.20E-04
DW373_2019.41,2019,8.08E-04,3.12E-04
DW313_2020.71,2020,5.10E-04,1.14E-05
DW330_2021.31,2021,5.15E-04,1.57E-05
DW486_2017.56,2017,4.92E-04,-1.05E-06
DW396_2020.64,2020,4.66E-04,-3.19E-05
DW405_2018.81,2018,4.69E-04,-2.60E-05
DW446_2020.43,2020,4.58E-04,-4.03E-05
DW443_2020.43,2020,4.91E-04,-6.60E-06
DW460_2020.77,2020,4.34E-04,-6.41E-05
M6713_2010,2010,4.64E-04,-1.77E-05
DW133_2021.4,2021,4.37E-04,-6.25E-05
DW272_2019.97,2019,4.30E-04,-6.71E-05
DW341_2020.29,2020,4.39E-04,-5.89E-05
DW464_2020.41,2020,4.39E-04,-5.91E-05
DW375_2019.58,2019,4.19E-04,-7.72E-05
DW449_2020.52,2020,4.65E-04,-3.30E-05
DW172_2021.54,2021,4.48E-04,-5.17E-05
DW372_2022.61,2022,4.39E-04,-6.22E-05
DW387_2020.48,2020,3.74E-04,-1.24E-04
DW382_2020.41,2020,3.01E-04,-1.97E-04
