Var1,Var2,cgmlst,SNP
DW027,DW013,267,1827
DW033,DW013,254,1791
DW039,DW013,257,2037
DW041,DW013,266,1798
DW050,DW013,250,1134
DW055,DW013,233,1632
DW058,DW013,247,1692
DW065,DW013,249,1721
DW077,DW013,248,1777
DW079,DW013,57,133
DW081,DW013,258,2077
DW085,DW013,247,1855
DW088,DW013,244,1751
DW096,DW013,251,1743
DW097,DW013,251,1721
DW098,DW013,258,1916
DW100,DW013,256,2019
DW108,DW013,252,1808
DW112,DW013,243,1732
DW119,DW013,259,1748
DW121,DW013,261,1938
DW123,DW013,246,1774
DW124,DW013,258,1892
DW128,DW013,250,1655
DW129,DW013,257,2032
DW131,DW013,246,1848
DW133,DW013,253,1832
DW140,DW013,240,1694
DW141,DW013,226,1836
DW148,DW013,265,1843
DW153,DW013,259,1779
DW155,DW013,263,1859
DW166,DW013,265,1885
DW167,DW013,248,1650
DW170,DW013,264,1780
DW172,DW013,247,1780
DW268,DW013,251,1817
DW269,DW013,251,1726
DW270,DW013,253,1797
DW272,DW013,250,1792
DW276,DW013,250,1969
DW277,DW013,258,1880
DW278,DW013,240,1920
DW279,DW013,262,1873
DW281,DW013,253,1773
DW282,DW013,253,1987
DW283,DW013,244,1945
DW285,DW013,256,1805
DW286,DW013,251,1760
DW287,DW013,233,1925
DW290,DW013,244,1781
DW292,DW013,250,1754
DW293,DW013,254,2061
DW295,DW013,255,2065
DW296,DW013,258,2060
DW299,DW013,254,1809
DW301,DW013,257,1831
DW303,DW013,251,1841
DW304,DW013,251,1661
DW307,DW013,261,1811
DW308,DW013,245,1779
DW309,DW013,244,1738
DW312,DW013,246,1721
DW313,DW013,248,1819
DW315,DW013,243,1784
DW316,DW013,260,1813
DW318,DW013,258,2066
DW320,DW013,254,1942
DW321,DW013,254,1946
DW325,DW013,246,1784
DW326,DW013,254,1940
DW329,DW013,247,1760
DW330,DW013,249,1758
DW331,DW013,251,1825
DW332,DW013,257,1952
DW334,DW013,252,1775
DW336,DW013,254,1971
DW337,DW013,254,1986
DW339,DW013,248,1725
DW342,DW013,266,1803
DW344,DW013,253,1980
DW345,DW013,264,2077
DW346,DW013,258,1829
DW347,DW013,256,1871
DW349,DW013,240,1755
DW351,DW013,260,1841
DW355,DW013,260,1818
DW356,DW013,255,2072
DW359,DW013,258,1840
DW360,DW013,248,1846
DW361,DW013,250,1922
DW365,DW013,244,1755
DW366,DW013,256,1790
DW368,DW013,258,1755
DW369,DW013,266,1793
DW370,DW013,255,1767
DW371,DW013,240,1707
DW372,DW013,249,1730
DW373,DW013,251,1818
DW374,DW013,215,1779
DW375,DW013,247,1773
DW376,DW013,262,1766
DW377,DW013,248,1821
DW379,DW013,253,1748
DW380,DW013,248,1735
DW381,DW013,247,1759
DW382,DW013,255,1756
DW383,DW013,255,1801
DW384,DW013,260,1784
DW385,DW013,248,1787
DW387,DW013,235,1553
DW388,DW013,245,1801
DW389,DW013,256,1689
DW390,DW013,258,1790
DW391,DW013,258,1799
DW392,DW013,261,1773
DW395,DW013,242,1270
DW396,DW013,225,1515
DW397,DW013,257,1770
DW398,DW013,247,1645
DW401,DW013,245,1810
DW402,DW013,257,1977
DW405,DW013,220,1414
DW409,DW013,250,1784
DW410,DW013,257,1667
DW413,DW013,258,1764
DW414,DW013,232,1739
DW415,DW013,247,1675
DW418,DW013,270,1836
DW420,DW013,249,1806
DW423,DW013,259,1829
DW425,DW013,255,1760
DW427,DW013,260,1748
DW428,DW013,255,1786
DW429,DW013,248,1661
DW430,DW013,257,1922
DW432,DW013,250,2010
DW433,DW013,248,1940
DW434,DW013,250,1808
DW435,DW013,241,1749
DW436,DW013,248,1644
DW438,DW013,262,1779
DW439,DW013,248,1747
DW441,DW013,255,2014
DW442,DW013,249,1788
DW443,DW013,246,1712
DW444,DW013,260,1769
DW446,DW013,232,1524
DW448,DW013,254,1765
DW449,DW013,254,1813
DW450,DW013,258,1785
DW451,DW013,258,1760
DW452,DW013,232,1511
DW454,DW013,259,1972
DW456,DW013,269,1849
DW458,DW013,257,1933
DW460,DW013,220,1473
DW462,DW013,258,1815
DW463,DW013,247,1709
DW464,DW013,251,1794
DW481,DW013,251,1726
DW482,DW013,256,2002
DW483,DW013,233,1762
DW484,DW013,253,1750
DW485,DW013,253,1761
DW486,DW013,249,1693
DW487,DW013,213,1714
DW488,DW013,241,1764
DW489,DW013,253,1933
M2282,DW013,241,1817
M2300,DW013,238,1793
M2321,DW013,251,1895
M2341,DW013,243,1756
M30,DW013,231,1742
M6090,DW013,244,1774
M6151,DW013,244,1785
M6257,DW013,247,1879
M6270,DW013,245,1823
M6280,DW013,229,1520
M6282,DW013,249,1806
M6283,DW013,241,1669
M6284,DW013,243,1803
M6285,DW013,236,1712
M6286,DW013,223,1602
M6303,DW013,249,1840
M6312,DW013,244,1789
M6320,DW013,254,1873
M6327,DW013,239,1786
M6328,DW013,252,1860
M6475,DW013,244,1882
M6489,DW013,252,1766
M6593,DW013,235,1843
M6604,DW013,223,1484
M6711,DW013,245,1668
M6713,DW013,228,1507
R32G,DW013,232,1774
TW10_5G,DW013,233,1773
TW10_6G,DW013,233,1776
TW48-5G,DW013,233,1775
UTMB_10G,DW013,233,1775
DW033,DW027,280,1720
DW039,DW027,273,1699
DW041,DW027,253,1504
DW050,DW027,242,765
DW055,DW027,221,1141
DW058,DW027,243,1615
DW065,DW027,182,1146
DW077,DW027,247,1333
DW079,DW027,300,1911
DW081,DW027,276,1830
DW085,DW027,266,1501
DW088,DW027,242,1365
DW096,DW027,246,1566
DW097,DW027,264,1454
DW098,DW027,257,1639
DW100,DW027,274,1661
DW108,DW027,241,1517
DW112,DW027,260,1618
DW119,DW027,264,1651
DW121,DW027,268,1541
DW123,DW027,249,1475
DW124,DW027,243,1306
DW128,DW027,271,1569
DW129,DW027,273,1687
DW131,DW027,249,1574
DW133,DW027,253,1511
DW140,DW027,263,1622
DW141,DW027,224,1564
DW148,DW027,260,1590
DW153,DW027,248,1588
DW155,DW027,258,1622
DW166,DW027,303,1782
DW167,DW027,204,1197
DW170,DW027,261,1523
DW172,DW027,261,1518
DW268,DW027,271,1702
DW269,DW027,271,1594
DW270,DW027,273,1718
DW272,DW027,252,1484
DW276,DW027,266,1546
DW277,DW027,250,1433
DW278,DW027,243,1521
DW279,DW027,256,1654
DW281,DW027,243,1542
DW282,DW027,287,1889
DW283,DW027,241,1547
DW285,DW027,274,1719
DW286,DW027,241,1471
DW287,DW027,236,1522
DW290,DW027,230,1211
DW292,DW027,267,1695
DW293,DW027,270,1764
DW295,DW027,267,1710
DW296,DW027,278,1803
DW299,DW027,246,1593
DW301,DW027,243,1582
DW303,DW027,240,1268
DW304,DW027,197,1215
DW307,DW027,255,1578
DW308,DW027,245,1640
DW309,DW027,245,1561
DW312,DW027,232,1232
DW313,DW027,271,1707
DW315,DW027,243,1284
DW316,DW027,253,1584
DW318,DW027,268,1699
DW320,DW027,260,1586
DW321,DW027,260,1599
DW325,DW027,244,1635
DW326,DW027,260,1573
DW329,DW027,254,1676
DW330,DW027,282,1652
DW331,DW027,237,1579
DW332,DW027,269,1562
DW334,DW027,268,1740
DW336,DW027,262,1582
DW337,DW027,258,1546
DW339,DW027,246,1647
DW342,DW027,52,92
DW344,DW027,262,1590
DW345,DW027,267,1673
DW346,DW027,250,1555
DW347,DW027,252,1647
DW349,DW027,223,1536
DW351,DW027,245,1597
DW355,DW027,242,1567
DW356,DW027,275,1822
DW359,DW027,247,1589
DW360,DW027,250,1546
DW361,DW027,256,1555
DW365,DW027,231,1482
DW366,DW027,278,1658
DW368,DW027,172,917
DW369,DW027,28,42
DW370,DW027,231,1484
DW371,DW027,253,1319
DW372,DW027,259,1467
DW373,DW027,253,1402
DW374,DW027,207,1515
DW375,DW027,249,1436
DW376,DW027,252,1480
DW377,DW027,262,1396
DW379,DW027,275,1555
DW380,DW027,265,1602
DW381,DW027,254,1404
DW382,DW027,275,1550
DW383,DW027,253,1385
DW384,DW027,254,1524
DW385,DW027,254,1476
DW387,DW027,289,1716
DW388,DW027,263,1441
DW389,DW027,246,1426
DW390,DW027,251,1534
DW391,DW027,251,1556
DW392,DW027,253,1516
DW395,DW027,238,788
DW396,DW027,293,1762
DW397,DW027,247,1514
DW398,DW027,207,1200
DW401,DW027,241,1525
DW402,DW027,273,1542
DW405,DW027,268,1616
DW409,DW027,272,1321
DW410,DW027,241,1345
DW413,DW027,251,1478
DW414,DW027,218,1433
DW415,DW027,244,1561
DW418,DW027,264,1619
DW420,DW027,258,1334
DW423,DW027,280,1549
DW425,DW027,247,1461
DW427,DW027,245,1513
DW428,DW027,278,1642
DW429,DW027,202,1216
DW430,DW027,262,1506
DW432,DW027,252,1611
DW433,DW027,278,1783
DW434,DW027,255,1471
DW435,DW027,248,1311
DW436,DW027,204,1194
DW438,DW027,253,1530
DW439,DW027,254,1385
DW441,DW027,267,1690
DW442,DW027,255,1454
DW443,DW027,276,1613
DW444,DW027,251,1555
DW446,DW027,287,1688
DW448,DW027,241,1576
DW449,DW027,261,1506
DW450,DW027,256,1501
DW451,DW027,251,1515
DW452,DW027,270,1652
DW454,DW027,268,1548
DW456,DW027,263,1639
DW458,DW027,266,1510
DW460,DW027,271,1681
